t_otps,z_otps
02-Sep-2020 08:03:00,-0.305627984780951
02-Sep-2020 09:03:00,-0.277453192904761
02-Sep-2020 10:03:00,-0.22709151883702
02-Sep-2020 11:03:00,-0.175520980813887
02-Sep-2020 12:03:00,-0.14085461756001
02-Sep-2020 13:03:00,-0.132151860307535
02-Sep-2020 14:03:00,-0.146593011100768
02-Sep-2020 15:03:00,-0.171244434290031
02-Sep-2020 16:03:00,-0.188255314495426
02-Sep-2020 17:03:00,-0.180880678469834
02-Sep-2020 18:03:00,-0.138087105846633
02-Sep-2020 19:03:00,-0.0570241473268961
02-Sep-2020 20:03:00,0.0561350707610714
02-Sep-2020 21:03:00,0.186493688945486
02-Sep-2020 22:03:00,0.31221707612267
02-Sep-2020 23:03:00,0.408550086424875
03-Sep-2020 00:03:00,0.45395134564988
03-Sep-2020 01:03:00,0.436593160013102
03-Sep-2020 02:03:00,0.3584758714974
03-Sep-2020 03:03:00,0.235114417792473
03-Sep-2020 04:03:00,0.0908834052707793
03-Sep-2020 05:03:00,-0.0478141281066565
03-Sep-2020 06:03:00,-0.158783263561975
03-Sep-2020 07:03:00,-0.227975273649538
03-Sep-2020 08:03:00,-0.251054080627137
03-Sep-2020 09:03:00,-0.233346015830682
03-Sep-2020 10:03:00,-0.188546591521028
03-Sep-2020 11:03:00,-0.135797798609922
03-Sep-2020 12:03:00,-0.0947908710777419
03-Sep-2020 13:03:00,-0.0797191251133441
03-Sep-2020 14:03:00,-0.0942860503216111
03-Sep-2020 15:03:00,-0.1302059065512
03-Sep-2020 16:03:00,-0.17018519827524
03-Sep-2020 17:03:00,-0.194107653901652
03-Sep-2020 18:03:00,-0.185652787254685
03-Sep-2020 19:03:00,-0.136845838853531
03-Sep-2020 20:03:00,-0.0496436927851529
03-Sep-2020 21:03:00,0.064792629907424
03-Sep-2020 22:03:00,0.188119876632314
03-Sep-2020 23:03:00,0.297806350131884
04-Sep-2020 00:03:00,0.371410829322869
04-Sep-2020 01:03:00,0.392051018524779
04-Sep-2020 02:03:00,0.353677223983402
04-Sep-2020 03:03:00,0.263820208015813
04-Sep-2020 04:03:00,0.142029706076602
04-Sep-2020 05:03:00,0.0142136977951483
04-Sep-2020 06:03:00,-0.0947995387448897
04-Sep-2020 07:03:00,-0.167447646095187
04-Sep-2020 08:03:00,-0.196464072332858
04-Sep-2020 09:03:00,-0.184789727668348
04-Sep-2020 10:03:00,-0.143630656818492
04-Sep-2020 11:03:00,-0.0897238717019067
04-Sep-2020 12:03:00,-0.0419095001828609
04-Sep-2020 13:03:00,-0.016698384143107
04-Sep-2020 14:03:00,-0.0233170961299366
04-Sep-2020 15:03:00,-0.0600113543839587
04-Sep-2020 16:03:00,-0.113777966888096
04-Sep-2020 17:03:00,-0.164397618167181
04-Sep-2020 18:03:00,-0.191351377817308
04-Sep-2020 19:03:00,-0.180591762207488
04-Sep-2020 20:03:00,-0.128426927104692
04-Sep-2020 21:03:00,-0.0416722842167974
04-Sep-2020 22:03:00,0.0648167154642839
04-Sep-2020 23:03:00,0.171524989399957
05-Sep-2020 00:03:00,0.257729155032303
05-Sep-2020 01:03:00,0.305263626764702
05-Sep-2020 02:03:00,0.302844405226039
05-Sep-2020 03:03:00,0.250014083880852
05-Sep-2020 04:03:00,0.158663330453631
05-Sep-2020 05:03:00,0.0504501284863323
05-Sep-2020 06:03:00,-0.0495661113775693
05-Sep-2020 07:03:00,-0.120511733108455
05-Sep-2020 08:03:00,-0.151214134004293
05-Sep-2020 09:03:00,-0.141735953908442
05-Sep-2020 10:03:00,-0.101391166551887
05-Sep-2020 11:03:00,-0.0452085152386509
05-Sep-2020 12:03:00,0.00951522466188661
05-Sep-2020 13:03:00,0.0463427450165242
05-Sep-2020 14:03:00,0.0531315909928752
05-Sep-2020 15:03:00,0.0257599810186848
05-Sep-2020 16:03:00,-0.0293343591742047
05-Sep-2020 17:03:00,-0.0958845538994818
05-Sep-2020 18:03:00,-0.152603109415511
05-Sep-2020 19:03:00,-0.180435092028558
05-Sep-2020 20:03:00,-0.168930965761312
05-Sep-2020 21:03:00,-0.118913500068618
05-Sep-2020 22:03:00,-0.0409438589117029
05-Sep-2020 23:03:00,0.0486161752608795
06-Sep-2020 00:03:00,0.1316203282199
06-Sep-2020 01:03:00,0.191209935764612
06-Sep-2020 02:03:00,0.21449490186485
06-Sep-2020 03:03:00,0.195589863666631
06-Sep-2020 04:03:00,0.138412520550703
06-Sep-2020 05:03:00,0.0572799577354813
06-Sep-2020 06:03:00,-0.026367486012629
06-Sep-2020 07:03:00,-0.0906329147509531
06-Sep-2020 08:03:00,-0.120354537017574
06-Sep-2020 09:03:00,-0.111379179049964
06-Sep-2020 10:03:00,-0.0702897276431578
06-Sep-2020 11:03:00,-0.0107235464938147
06-Sep-2020 12:03:00,0.0510696556062015
06-Sep-2020 13:03:00,0.0995241420854163
06-Sep-2020 14:03:00,0.121950193410886
06-Sep-2020 15:03:00,0.110777914979256
06-Sep-2020 16:03:00,0.0662218368490838
06-Sep-2020 17:03:00,-0.00203206611895282
06-Sep-2020 18:03:00,-0.0762503898536516
06-Sep-2020 19:03:00,-0.135896283587269
06-Sep-2020 20:03:00,-0.1647581038826
06-Sep-2020 21:03:00,-0.156405291870789
06-Sep-2020 22:03:00,-0.11531838383955
06-Sep-2020 23:03:00,-0.0538183395699441
07-Sep-2020 00:03:00,0.0126924706266384
07-Sep-2020 01:03:00,0.0695162105401394
07-Sep-2020 02:03:00,0.104688144760272
07-Sep-2020 03:03:00,0.110370017541093
07-Sep-2020 04:03:00,0.0848112127407877
07-Sep-2020 05:03:00,0.0343859883759235
07-Sep-2020 06:03:00,-0.026367176627941
07-Sep-2020 07:03:00,-0.0783657940219642
07-Sep-2020 08:03:00,-0.104517557276939
07-Sep-2020 09:03:00,-0.0960146597609015
07-Sep-2020 10:03:00,-0.055014989199627
07-Sep-2020 11:03:00,0.00735350984043297
07-Sep-2020 12:03:00,0.0757689827636574
07-Sep-2020 13:03:00,0.135182049931656
07-Sep-2020 14:03:00,0.173228519891386
07-Sep-2020 15:03:00,0.181212283302751
07-Sep-2020 16:03:00,0.155341495054304
07-Sep-2020 17:03:00,0.0987276721714758
07-Sep-2020 18:03:00,0.0225909984337936
07-Sep-2020 19:03:00,-0.0555539343976296
07-Sep-2020 20:03:00,-0.117233505511396
07-Sep-2020 21:03:00,-0.149593158276594
07-Sep-2020 22:03:00,-0.149596210080641
07-Sep-2020 23:03:00,-0.123644912473442
08-Sep-2020 00:03:00,-0.0835049732404421
08-Sep-2020 01:03:00,-0.0415740176144757
08-Sep-2020 02:03:00,-0.00807168169228267
08-Sep-2020 03:03:00,0.0096583694693334
08-Sep-2020 04:03:00,0.00747364382048766
08-Sep-2020 05:03:00,-0.0141984431397919
08-Sep-2020 06:03:00,-0.0486266260327206
